Komputronik,rtx 3080,Graphics Cards,ASUS GeForce RTX 3080 EK 10GB,5890,RTX3080-10G-EK,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Gigabyte GeForce RTX 3080 AORUS XTREME WATERFORCE 10G,5590,GV-N3080AORUSX W-10GD,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,ZOTAC GeForce RTX 3080 Gaming AMP Holo Extreme 10GB,4949,ZT-A30800B-10P,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,{{::product.name}},,{{product.code_foreign}},2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-10700F,1309,BX8070110700F,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-9700K,1329,BX80684I79700K,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-10700K,1649,BX8070110700K,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-10700KF,1569,BX8070110700KF,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-10700KA,1689,BX8070110700KA,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-9700F,1119,BX80684I79700F,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-9700KF,1409,BX80684I79700KF,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-10700,1549,BX8070110700,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-9700,1219,BX80684I79700,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-8700,1689,BX80684I78700,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-9800X,1849,BX80673I79800X,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,Intel Core i7-9700KF tray,1999,CM8068403874219,2021-01-16 21:25:04,
Komputronik,intel i7,Processor,{{::product.name}},,{{product.code_foreign}},2021-01-16 21:25:04,
Komputronik,ram,RAM,Patriot Viper 4 16GB [2x8GB 3200MHz DDR4 CL16 1.35V DIMM],369,PV416G320C6K,2021-01-16 21:25:04,
Komputronik,ram,RAM,Corsair Vengeance RGB Pro 16GB [2x8GB 3600MHz DDR4 C18 DIMM],519,CMW16GX4M2Z3600C18,2021-01-16 21:25:04,
Komputronik,ram,RAM,G.SKILL RipjawsV 16GB Black [2x8GB 3200MHz DDR4 CL16 rev2 DIMM],379,F4-3200C16D-16GVKB,2021-01-16 21:25:04,
Komputronik,ram,RAM,G.SKILL Aegis 16GB [2x8GB 3000MHz DDR4 CL16 1.35V DIMM],319,F4-3000C16D-16GISB,2021-01-16 21:25:04,
Komputronik,ram,RAM,G.SKILL Aegis 16GB [2x8GB 3200MHz DDR4 CL16 XMP 2.0 DIMM],339,F4-3200C16D-16GIS,2021-01-16 21:25:04,
